district,bedrooms,bathrooms,price_vnd,area_m2,posting_year,posting_month,posting_quarter,month_sin,month_cos,days_since_posted,half_year,price_per_m2
Đông Anh,0,0,17.9,63.0,2024,11,4,-0.5000000000000004,0.8660254037844384,408,1,284126984.1269841
Bắc Từ Liêm,0,0,6.5,80.0,2023,12,4,-2.4492935982947064e-16,1.0,737,1,81250000.0
Cầu Giấy,0,0,19.2,78.0,2023,4,2,0.8660254037844387,-0.4999999999999998,993,0,246153846.15384614
Tây Hồ,0,0,13.5,111.0,2025,3,1,1.0,6.123233995736766e-17,282,0,121621621.62162162
Thanh Xuân,0,0,55.1,162.0,2024,11,4,-0.5000000000000004,0.8660254037844384,397,1,340123456.79012346
Thanh Xuân,0,0,6.4,90.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,547,1,71111111.1111111
Móng Cái,0,0,7.4,90.0,2025,5,2,0.49999999999999994,-0.8660254037844387,242,0,82222222.22222222
Nam Từ Liêm,0,0,8.9,46.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,525,1,193478260.86956522
Nam Từ Liêm,0,0,5.0,65.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,495,1,76923076.92307693
Đông Anh,0,0,18.6,67.0,2024,5,2,0.49999999999999994,-0.8660254037844387,599,0,277611940.29850745
Nam Từ Liêm,0,0,3.0,58.0,2023,6,2,1.2246467991473532e-16,-1.0,940,0,51724137.93103448
Bắc Từ Liêm,0,0,4.9,83.0,2023,2,1,0.8660254037844386,0.5000000000000001,1038,0,59036144.578313254
Tây Hồ,0,0,0.21,31.0,2024,11,4,-0.5000000000000004,0.8660254037844384,397,1,6774193.548387097
Đông Anh,0,0,15.1,62.0,2023,12,4,-2.4492935982947064e-16,1.0,749,1,243548387.0967742
Hai Bà Trưng,0,0,17.3,73.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,510,1,236986301.369863
Cầu Giấy,0,0,3.7,40.0,2025,10,4,-0.8660254037844386,0.5000000000000001,89,1,92500000.0
Gia Lâm,0,0,3.4,55.0,2023,10,4,-0.8660254037844386,0.5000000000000001,800,1,61818181.81818182
Tây Hồ,0,0,55.6,140.0,2025,4,2,0.8660254037844387,-0.4999999999999998,248,0,397142857.14285713
Gia Lâm,0,0,0.16,150.0,2023,10,4,-0.8660254037844386,0.5000000000000001,818,1,1066666.6666666667
Long Biên,0,0,13.3,50.0,2023,4,2,0.8660254037844387,-0.4999999999999998,976,0,266000000.0
Đông Anh,0,0,16.1,62.0,2023,11,4,-0.5000000000000004,0.8660254037844384,768,1,259677419.35483873
Đông Anh,0,0,22.1,80.0,2025,6,2,1.2246467991473532e-16,-1.0,187,0,276250000.0
Hà Đông,0,0,5.1,79.0,2025,8,3,-0.8660254037844385,-0.5000000000000004,122,1,64556962.025316454
